"","Taeromys_celebensis_NMVC38225","Taeromys_celebensis_NMVZ20637","Taeromys_dominator_NMVC37024","Taeromys_dominator_NMVC37192"
"Taeromys_celebensis_NMVC38225",0,0.0206056916641863,0.115500100574032,0.120256987556385
"Taeromys_celebensis_NMVZ20637",0.0206056916641863,0,0.113921152622435,0.107638393368899
"Taeromys_dominator_NMVC37024",0.115500100574032,0.113921152622435,0,0.073993608560026
"Taeromys_dominator_NMVC37192",0.120256987556385,0.107638393368899,0.073993608560026,0
